"type","name","short name","link"
"Third-Party","Demon Cults & Secret Societies","DCSS",""
"Third-Party","Fifth Edition Foes","5eF",""
"Third-Party","Monsters of the Orient","moto","http://www.dmsguild.com/product/215595"
"Third-Party","Primeval Thule Campaign Setting","ThuleCS",""
"Third-Party","Primeval Thule Gamemaster's Companion","ThuleGM",""
"Third-Party","Quests of Doom Volume 1","QoDv1","https://www.froggodgames.com/quests-doom-5e-volume-1"
"Third-Party","Quests of Doom Volume 2","QoDv2","https://www.froggodgames.com/quests-doom-5e-volume-2"
"Third-Party","Tome of Beasts","ToB",""
"Third-Party","Ultimate Bestiary Revenge of the Horde","UBRotH","https://nordgamesllc.com/product/ultimate-bestiary-revenge-horde/"
